,0,1,2
0,8309,4153,4156
1,7565,3811,3754
2,7179,3630,3549
3,6937,3500,3437
4,6782,3424,3358
5,6695,3372,3323
6,6618,3345,3273
7,6572,3329,3243
8,6519,3302,3217
9,6495,3276,3219
10,6492,3267,3225
11,6492,3258,3234
12,6519,3280,3239
13,6520,3281,3239
14,6507,3271,3236
15,6552,3300,3252
16,6563,3297,3266
17,6560,3293,3267
18,6585,3306,3279
19,6620,3318,3302
20,6650,3324,3326
21,6661,3326,3335
22,6689,3350,3339
23,6717,3375,3342
24,6711,3378,3333
25,6730,3393,3337
26,6754,3406,3348
27,6788,3426,3362
28,6801,3434,3367
29,6788,3422,3366
30,6788,3423,3365
31,6795,3426,3369
32,6806,3432,3374
33,6817,3439,3378
34,6826,3445,3381
35,6876,3453,3423
36,6908,3470,3438
37,6971,3508,3463
38,7027,3530,3497
39,7106,3565,3541
40,7213,3613,3600
41,7285,3648,3637
42,7346,3674,3672
43,7465,3718,3747
44,7545,3763,3782
45,7642,3820,3822
46,7709,3842,3867
47,7797,3896,3901
48,7871,3939,3932
49,7938,3964,3974
50,8023,3991,4032
51,8116,4041,4075
52,8205,4079,4126
53,8313,4147,4166
54,8328,4160,4168
55,8391,4198,4193
56,8441,4224,4217
57,8483,4247,4236
58,8523,4268,4255
59,8581,4292,4289
60,8640,4344,4296
61,8711,4385,4326
62,8750,4402,4348
63,8789,4426,4363
64,8849,4445,4404
65,8876,4449,4427
66,8959,4491,4468
67,9066,4555,4511
68,9174,4602,4572
69,9251,4653,4598
70,9328,4686,4642
71,9419,4719,4700
72,9534,4766,4768
73,9647,4823,4824
74,9748,4874,4874
75,9850,4923,4927
76,9944,4953,4991
77,10052,5009,5043
78,10159,5068,5091
79,10241,5101,5140
80,10362,5145,5217
81,10470,5204,5266
82,10582,5272,5310
83,10684,5333,5351
84,10810,5411,5399
85,10906,5457,5449
86,10992,5504,5488
87,11048,5535,5513
88,11132,5562,5570
89,11213,5600,5613
90,11310,5632,5678
91,11381,5654,5727
92,11443,5699,5744
93,11499,5729,5770
94,11585,5754,5831
95,11733,5821,5912
96,11838,5878,5960
97,11918,5901,6017
98,11993,5947,6046
99,12130,6001,6129
